date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:26	2249/2249	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/integration/iframes_communication.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/integration/iframes_communication.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:27	1507/1507	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/integration/candidate_data_handler.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/js/integration/candidate_data_handler.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:27	3228/3228	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2013:47:48%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/iam/js/iamuser.js	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/iam/js/iamuser.js	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:28	53/53	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/images/i_red_star.gif	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/images/i_red_star.gif	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:29	50540/50540	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2006:29:30%20GMT	https://cognizant.taleo.net/careersection/iam/accessmanagement/forgotPasswordAccessCode.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl%3Flang%3Den	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/iam/accessmanagement/forgotPasswordAccessCodee049.html	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:29	3166/3166	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/link.png	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/link.png	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:30	3256/3256	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/twit.png	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/twit.png	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:30	2989/2989	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/face.png	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/face.png	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:31	1354/1354	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Oct%202023%2011:50:10%20GMT	https://cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/feedicon.png	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/theme/2181/1140729137450/en/theme/images/feedicon.png	(from https://cognizant.taleo.net/careersection/iam/accessmanagement/login.jsf?redirectionURI=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl&TARGET=http%3A%2F%2Fcognizant.taleo.net%2Fcareersection%2Findapac_agency_career%2Fmoresearch.ftl)
11:59:32	3677/3677	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Dec%202023%2015:43:26%20GMT	https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/images/i_large_admin_portal.gif	C:/My%20Web%20Sites/dfg/cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/images/i_large_admin_portal.gif	(from https://cognizant.taleo.net/careersection/2023PRD.4.0.28.3.0/css/careersection_all.css)
